Size:;222;
Target Language:;English;
Index;English(Source);English(Target)
1,1,1,1;Trigger Delay has been turned on, but the assigned input did not become inactive within the 30 seconds allowed.;Trigger Delay has been turned on, but the assigned input did not become inactive within the 30 seconds allowed.;
1,1,1,2;The Missing Part Minimum Distance has not been reached before Trigger occurred or the Maximum Distance has been exceeded before Trigger has occurred.;The Missing Part Minimum Distance has not been reached before Trigger occurred or the Maximum Distance has been exceeded before Trigger has occurred.;
1,1,1,3;The Part Contact Distance has been met before the defined Pretrigger Distance.;The Part Contact Distance has been met before the defined Pretrigger Distance.;
1,2,1,1;ERROR DESCRIPTION;ERROR DESCRIPTION;
1,2,1,2;RESET;RESET;
1,2,1,3;HIDE;HIDE;
1,3,1,1;External Sonics Delay Timeout;External Sonics Delay Timeout;
1,3,1,2;Part Window Abort;Part Window Abort;
1,3,1,3;Part Contact before;Part Contact before;
1,4;ALARM;ALARM;
3,1,1;MENU;MENU;
3,1,2;RECIPES;RECIPES;
3,1,3;PRODUCTION;PRODUCTION;
3,1,4;ANALYTICS;ANALYTICS;
3,1,5;SYSTEM;SYSTEM;
4,10,1,1;Calibration;Calibration;
4,10,2,1;Configuration;Configuration;
4,10,2,2,1;General;General;
4,10,2,2,2;User Management;User Management;
4,10,2,2,3;User I/O;User I/O;
4,10,2,2,4;IP Configuration;IP Configuration;
4,10,2,2,5;Alarm Management;Alarm Management;
4,10,3,1;Data;Data;
4,10,3,2,1;Generate Report;Generate Report;
4,10,3,2,2;TYPE;TYPE;
4,10,3,2,3;STORAGE& OUTPUT;STORAGE& OUTPUT;
4,10,3,2,4;DATA FILTERS;DATA FILTERS;
4,10,3,2,5;SUMMARY;SUMMARY;
4,10,3,2,6;NEXT;NEXT;
4,10,4,1,1,1,1;UI Controller;UI Controller;
4,10,4,1,2,1,1;Actuator Controller;Actuator Controller;
4,10,4,1,2,1,2;Power Controller;Power Controller;
4,10,4,1,2,1,3;Supervisory Controller;Supervisory Controller;
4,10,4,1,3;SOFTWARE UPGRADE;SOFTWARE UPGRADE;
4,10,4,1,4,1;To begin, insert USB drive and click READ USB;To begin, insert USB drive and click READ USB;
4,10,4,1,4,2;Insert USB to Welder;Insert USB to Welder;
4,10,4,1,4,3;Insert USB to HMI;Insert USB to HMI;
4,10,4,1,4,4;READ USB;READ USB;
4,10,4,1,4,5;READING;READING;
4,10,4,1,4,6;UPGRADE;UPGRADE;
4,10,4,2;Information;Information;
4,10,4,3,1;Machine Details;Machine Details;
4,10,4,3,10;Power Supply;Power Supply;
4,10,4,3,11;Life Time Welds;Life Time Welds;
4,10,4,3,12;Overloads;Overloads;
4,10,4,3,13;Type;Type;
4,10,4,3,14;Frequency;Frequency;
4,10,4,3,15;Wattage;Wattage;
4,10,4,3,16;Actuator;Actuator;
4,10,4,3,17;Life time cycle;Life time cycle;
4,10,4,3,18;Type;Type;
4,10,4,3,19;Calibration Date;Calibration Date;
4,10,4,3,2;Model;Model;
4,10,4,3,20;Stroke Length;Stroke Length;
4,10,4,3,21;Connectivity;Connectivity;
4,10,4,3,22;MAC Address;MAC Address;
4,10,4,3,23;Third Party Software Information;Third Party Software Information;
4,10,4,3,24;Please refer to the following URL for information about third party software(e.g., open source software) used in this product:;Please refer to the following URL for information about third party software(e.g., open source software) used in this product:;
4,10,4,3,25;NIST Calibration;NIST Calibration;
4,10,4,3,26;NIST Calibration Date;NIST Calibration Date;
4,10,4,3,27;Overloads;Overloads;
4,10,4,3,3;General Alarm;General Alarm;
4,10,4,3,4;Software Versions;Software Versions;
4,10,4,3,5;UI Controller;UI Controller;
4,10,4,3,6;Supervisory Controller;Supervisory Controller;
4,10,4,3,7;Actuator Controller;Actuator Controller;
4,10,4,3,8;Power Controller;Power Controller;
4,10,4,3,9;SOFTWARE UPGRADE;SOFTWARE UPGRADE;
4,10,5;System;System;
4,10,6,1;Configuration;Configuration;
4,10,6,2;Data;Data;
4,10,6,3;Information;Information;
4,10,6,4;Calibration;Calibration;
4,2,1,1,1,1,1;Phase;Phase;
4,2,1,1,1,1,10;Col Distance;Col Distance;
4,2,1,1,1,1,11;Time;Time;
4,2,1,1,1,1,2;Energy;Energy;
4,2,1,1,1,1,3;Frequency;Frequency;
4,2,1,1,1,1,4;Amplitude;Amplitude;
4,2,1,1,1,1,5;Current;Current;
4,2,1,1,1,1,6;Power;Power;
4,2,1,1,1,1,7;Force;Force;
4,2,1,1,1,1,8;Velocity;Velocity;
4,2,1,1,1,1,9;Abs Distance;Abs Distance;
4,2,1,1,2,1,1;Left;Left;
4,2,1,1,2,1,2;Right;Right;
4,2,1,1,3,1,1;Left Axis;Left Axis;
4,2,1,1,3,1,2;Right Axis;Right Axis;
4,2,1,1,3,1,3;Auto Graph Refresh;Auto Graph Refresh;
4,2,1,1,3,1,4;Auto-Scale Time Axis;Auto-Scale Time Axis;
4,2,1,1,3,1,5;Set Time Scale;Set Time Scale;
4,2,1,1,4,1;Cycle Number;Cycle Number;
4,2,1,2,1,1;CHOOSE PARAMETER;CHOOSE PARAMETER;
4,2,1,2,1,2,1;Recipe;Recipe;
4,2,1,2,1,2,10;Tool Absolute(mm);Tool Absolute(mm);
4,2,1,2,1,2,11;Weld Collapse Dist;Weld Collapse Dist;
4,2,1,2,1,2,12;Hold Collapse Dist;Hold Collapse Dist;
4,2,1,2,1,2,13;Total Collapse Dist;Total Collapse Dist;
4,2,1,2,1,2,14;Trigger Distance(mm);Trigger Distance(mm);
4,2,1,2,1,2,15;Velocity(mm/s);Velocity(mm/s);
4,2,1,2,1,2,2;Recipe Version;Recipe Version;
4,2,1,2,1,2,3;Date Time;Date Time;
4,2,1,2,1,2,4;Stack Serial;Stack Serial;
4,2,1,2,1,2,5;Cycle Counter;Cycle Counter;
4,2,1,2,1,2,6;Weld Mode;Weld Mode;
4,2,1,2,1,2,7;Max Weld Force(N);Max Weld Force(N);
4,2,1,2,1,2,8;Find Hold Force(N);Find Hold Force(N);
4,2,1,2,1,2,9;Weld Absolute(mm);Weld Absolute(mm);
4,2,1,2,2,1;Choose;Choose;
4,2,2;Analytics;Analytics;
4,2,3,1;Results;Results;
4,2,3,2;Alarms;Alarms;
4,2,3,3;EDIT RECIPE;EDIT RECIPE;
4,2,3,4;GENERATE REPORT;GENERATE REPORT;
4,5,1;Login;Login;
4,5,2,1;Enter Passcode;Enter Passcode;
4,5,2,2;Login;Login;
4,5,2,3;Too many failed login attempts. System will be locked for 15 minutes.;Too many failed login attempts. System will be locked for 15 minutes.;
4,5,2,4;Invalid Passcode. Please re-enter and try again.;Invalid Passcode. Please re-enter and try again.;
4,5,2,5;Login Successful;Login Successful;
4,5,2,6;Please enter a passcode;Please enter a passcode;
4,7,1,1;CANCEL;CANCEL;
4,7,1,10;Step@Pk Power;Step@Pk Power;
4,7,1,11;Step@Absolute;Step@Absolute;
4,7,1,12;Step@Collapse;Step@Collapse;
4,7,1,13;Step@Ext. Signal;Step@Ext. Signal;
4,7,1,14;Invalid value is entered, Reverted to old value;Invalid value is entered, Reverted to old value;
4,7,1,2;DONE;DONE;
4,7,1,3;Min;Min;
4,7,1,4;Max;Max;
4,7,1,5;STEPPING;STEPPING;
4,7,1,6;Step;Step;
4,7,1,7;Step Value;Step Value;
4,7,1,8;Step@Time;Step@Time;
4,7,1,9;Step@Energy;Step@Energy;
4,8,1;Production;Production;
4,8,2,1;Active Recipe;Active Recipe;
4,8,2,2;Total Cycle Time;Total Cycle Time;
4,8,2,3;Cycle Count;Cycle Count;
4,8,2,4;Peak Power;Peak Power;
4,9,1,1,1;Time;Time;
4,9,1,1,2;Energy;Energy;
4,9,1,1,3;Peak Power;Peak Power;
4,9,1,1,4;Scrub Time;Scrub Time;
4,9,1,1,5;Absolute Distance;Absolute Distance;
4,9,1,1,6;Collapse Distance;Collapse Distance;
4,9,2,1,1;GRAPH SETTINGS;GRAPH SETTINGS;
4,9,2,2,1,1,1;Control;Control;
4,9,2,2,1,2,1;Setup;Setup;
4,9,2,2,1,3,1;Suspect & Reject;Suspect & Reject;
4,9,2,2,1,4;Limits;Limits;
4,9,2,2,2,1;Parameters A-Z;Parameters A-Z;
4,9,2,2,2,2,1;AFTERBURST TIME;AFTERBURST TIME;
4,9,2,2,2,2,10;PRETRIGGER AMPLITUDE;PRETRIGGER AMPLITUDE;
4,9,2,2,2,2,11;PRETRIGGER DISTANCE;PRETRIGGER DISTANCE;
4,9,2,2,2,2,2;DISTANCE;DISTANCE;
4,9,2,2,2,2,3;AUTO;AUTO;
4,9,2,2,2,2,4;EXTRA COOLING;EXTRA COOLING;
4,9,2,2,2,2,5;HOLD RAMP FORCE TIME;HOLD RAMP FORCE TIME;
4,9,2,2,2,2,6;MAX TIMEOUT;MAX TIMEOUT;
4,9,2,2,2,2,7;POST-WELD SEEK;POST-WELD SEEK;
4,9,2,2,2,2,8;PRE-WELD SEEK;PRE-WELD SEEK;
4,9,2,2,2,2,9;PRETRIGGER;PRETRIGGER;
4,9,2,2,3,1;Weld Mode;Weld Mode;
4,9,2,2,3,2,1;TIME;TIME;
4,9,2,2,3,2,2;ENERGY;ENERGY;
4,9,2,2,3,2,3;PEAK POWER;PEAK POWER;
4,9,2,2,3,2,4;GROUND DETECT;GROUND DETECT;
4,9,2,2,3,2,5;ABSOLUTE DISTANCE;ABSOLUTE DISTANCE;
4,9,2,2,3,2,6;COLLAPSE DISTANCE;COLLAPSE DISTANCE;
4,9,2,2,4,1,1;AFTERBURST;AFTERBURST;
4,9,2,2,4,1,2,1;AFTERBURST TIME;AFTERBURST TIME;
4,9,2,2,4,1,2,2;AFTERBURST DELAY;AFTERBURST DELAY;
4,9,2,2,4,1,2,3;AFTERBURST AMPLITUDE;AFTERBURST AMPLITUDE;
4,9,2,2,4,1,2,4;Turn all off;Turn all off;
4,9,2,2,4,2,1;PRETRIGGER;PRETRIGGER;
4,9,2,2,4,2,2,1;DISTANCE;DISTANCE;
4,9,2,2,4,2,2,2;AUTO;AUTO;
4,9,2,2,4,2,2,3;PRETRIGGER AMPLITUDE;PRETRIGGER AMPLITUDE;
4,9,2,2,4,2,2,4;Turn all off;Turn all off;
4,9,2,2,4,3;Weld Process;Weld Process;
4,9,2,2,5,1;Stack Recipe;Stack Recipe;
4,9,2,2,6;RECIPE SETTINGS;RECIPE SETTINGS;
4,9,2,2,7,1;Actions;Actions;
4,9,2,2,7,10;ABSOLUTE DISTANCE;ABSOLUTE DISTANCE;
4,9,2,2,7,11;COLLAPSE DISTANCE;COLLAPSE DISTANCE;
4,9,2,2,7,12;SCRUB TIME;SCRUB TIME;
4,9,2,2,7,13;WELD AMPLITUDE;WELD AMPLITUDE;
4,9,2,2,7,14;HOLD TIME;HOLD TIME;
4,9,2,2,7,2;New;New;
4,9,2,2,7,3;Save;Save;
4,9,2,2,7,4;Copy;Copy;
4,9,2,2,7,5;Validate;Validate;
4,9,2,2,7,6;QUICK EDIT;QUICK EDIT;
4,9,2,2,7,7;TIME;TIME;
4,9,2,2,7,8;ENERGY;ENERGY;
4,9,2,2,7,9;PEAK POWER;PEAK POWER;
4,9,2,3,1;RESULT VIEW;RESULT VIEW;
4,9,2,4;Lab;Lab;
4,9,3;Recipes;Recipes;
4,9,4,1;Recipes;Recipes;
4,9,4,10;SET AS ACTIVE;SET AS ACTIVE;
4,9,4,11;Cycle Count;Cycle Count;
4,9,4,12;Sequence Count;Sequence Count;
4,9,4,2;Sequences;Sequences;
4,9,4,3;New Recipe;New Recipe;
4,9,4,4;New Sequence;New Sequence;
4,9,4,5;Actions;Actions;
4,9,4,6;PRODUCTION RUN;PRODUCTION RUN;
4,9,4,7;EDIT RECIPE;EDIT RECIPE;
4,9,4,8;EDIT SEQUENCE;EDIT SEQUENCE;
4,9,4,9;RESET CYCLE COUNT;RESET CYCLE COUNT;
5,1,1,1;Select Language;Select Language;
5,1,1,2;CANCEL;CANCEL;
5,1,1,3;SAVE;SAVE;
5,2,1;Action Center;Action Center;
5,2,2;Actuator Setup;Actuator Setup;
5,2,3;Diagnostics;Diagnostics;
5,2,4;Import/ Export;Import/ Export;
5,2,5;Logout;Logout;
5,2,6;Exit;Exit;
5,2,7;Machine;Machine;
