Size:;222;
Target Language:;Polskie;
Index;English(Source);Polskie(Target)
1,1,1,1;Trigger Delay has been turned on, but the assigned input did not become inactive within the 30 seconds allowed.;
1,1,1,2;The Missing Part Minimum Distance has not been reached before Trigger occurred or the Maximum Distance has been exceeded before Trigger has occurred.;
1,1,1,3;The Part Contact Distance has been met before the defined Pretrigger Distance.;
1,2,1,1;ERROR DESCRIPTION;
1,2,1,2;RESET;
1,2,1,3;HIDE;
1,3,1,1;External Sonics Delay Timeout;
1,3,1,2;Part Window Abort;
1,3,1,3;Part Contact before;
1,4;ALARM;
3,1,1;MENU;
3,1,2;RECIPES;
3,1,3;PRODUCTION;
3,1,4;ANALYTICS;
3,1,5;SYSTEM;
4,10,1,1;Calibration;
4,10,2,1;Configuration;
4,10,2,2,1;General;
4,10,2,2,2;User Management;
4,10,2,2,3;User I/O;
4,10,2,2,4;IP Configuration;
4,10,2,2,5;Alarm Management;
4,10,3,1;Data;
4,10,3,2,1;Generate Report;
4,10,3,2,2;TYPE;
4,10,3,2,3;STORAGE& OUTPUT;
4,10,3,2,4;DATA FILTERS;
4,10,3,2,5;SUMMARY;
4,10,3,2,6;NEXT;
4,10,4,1,1,1,1;UI Controller;
4,10,4,1,2,1,1;Actuator Controller;
4,10,4,1,2,1,2;Power Controller;
4,10,4,1,2,1,3;Supervisory Controller;
4,10,4,1,3;SOFTWARE UPGRADE;
4,10,4,1,4,1;To begin, insert USB drive and click READ USB;
4,10,4,1,4,2;Insert USB to Welder;
4,10,4,1,4,3;Insert USB to HMI;
4,10,4,1,4,4;READ USB;
4,10,4,1,4,5;READING;
4,10,4,1,4,6;UPGRADE;
4,10,4,2;Information;
4,10,4,3,1;Machine Details;
4,10,4,3,10;Power Supply;
4,10,4,3,11;Life Time Welds;
4,10,4,3,12;Overloads;
4,10,4,3,13;Type;
4,10,4,3,14;Frequency;
4,10,4,3,15;Wattage;
4,10,4,3,16;Actuator;
4,10,4,3,17;Life time cycle;
4,10,4,3,18;Type;
4,10,4,3,19;Calibration Date;
4,10,4,3,2;Model;
4,10,4,3,20;Stroke Length;
4,10,4,3,21;Connectivity;
4,10,4,3,22;MAC Address;
4,10,4,3,23;Third Party Software Information;
4,10,4,3,24;Please refer to the following URL for information about third party software(e.g., open source software) used in this product:;
4,10,4,3,25;NIST Calibration;
4,10,4,3,26;NIST Calibration Date;
4,10,4,3,27;Overloads;
4,10,4,3,3;General Alarm;
4,10,4,3,4;Software Versions;
4,10,4,3,5;UI Controller;
4,10,4,3,6;Supervisory Controller;
4,10,4,3,7;Actuator Controller;
4,10,4,3,8;Power Controller;
4,10,4,3,9;SOFTWARE UPGRADE;
4,10,5;System;
4,10,6,1;Configuration;
4,10,6,2;Data;
4,10,6,3;Information;
4,10,6,4;Calibration;
4,2,1,1,1,1,1;Phase;
4,2,1,1,1,1,10;Col Distance;
4,2,1,1,1,1,11;Time;
4,2,1,1,1,1,2;Energy;
4,2,1,1,1,1,3;Frequency;
4,2,1,1,1,1,4;Amplitude;
4,2,1,1,1,1,5;Current;
4,2,1,1,1,1,6;Power;
4,2,1,1,1,1,7;Force;
4,2,1,1,1,1,8;Velocity;
4,2,1,1,1,1,9;Abs Distance;
4,2,1,1,2,1,1;Left;
4,2,1,1,2,1,2;Right;
4,2,1,1,3,1,1;Left Axis;
4,2,1,1,3,1,2;Right Axis;
