井号,时间,工种,操作员,深度,速度,速度单位,张力,张力增量,张力单位,最大张力,缆头张力,安全张力,异常数据标识
陕50H-3王,2025-07-14 10:27:45,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:44,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:41,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:40,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:39,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:38,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:37,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:36,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:35,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:34,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:33,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:30,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:29,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:28,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:27,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:27:25,超级用户,JerryW,0.00,0.00,m/h,0.00,0.00,kn,0.00,0.00,0.00,无
陕50H-3王,2025-07-14 10:26:17,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:16,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:15,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:14,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:13,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:12,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:11,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:10,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:09,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:08,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:07,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:06,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:05,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:04,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:03,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:02,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:01,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:26:00,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:59,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:58,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:57,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:56,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:55,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:54,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:53,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:52,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:51,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:50,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:49,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:48,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:47,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:46,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:45,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:44,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:43,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:42,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:41,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:40,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:39,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:38,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:37,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:36,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:35,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:34,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:33,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:32,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:31,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:30,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:29,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:28,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:27,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:26,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:25,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:24,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:23,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:22,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:21,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:20,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
